Set,Number,Purpose,Chem1,Chem2,Chem3,Chem4,Chem5,Parameter_1,Parameter_2,Parameter_3,Parameter_4,Parameter_5,Parameter_6,Parameter_7,Parameter_8,Parameter_9,Parameter_10,Mval_01.1,Mval_01.2,Mval_02,Mval_03.1,Mval_03.2,Mval_04,Mval_05,Mval_06.1,Mval_06.2,Remarks
20000103OPA,1,Condition_0001,CHM804,DXX,5,,826,PJ-1,100,90,80,40,200,22,40,30,130,4.68,,88.66,98.89,95.07,31,,,,x
20000103OPA,2,Condition_0001,CHM804,DXX,5,,826,PJ-1,100,90,80,40,200,22,40,30,130,4.60,,88.71,98.92,94.96,36,,,,
20000103OPA,3,Condition_0001,CHM804,DXX,5,,826,PJ-1,100,90,80,40,200,22,40,30,130,4.55,,88.68,99.03,95.53,27,,,,
20000103OPA,4,Condition_0001,CHM804,DXX,5,,826,PJ-1,100,90,80,40,200,22,40,30,130,4.31,,88.67,99.01,95.42,26,,,,
20000103OPA,5,Condition_0001,CHM804,DXX,5,,826,PJ-1,100,90,80,40,200,22,40,30,130,4.59,,88.70,98.70,94.02,8.5,,,,
20000103OPA,6,Condition_0001,CHM804,DXX,5,,826,PJ-1,100,90,80,40,200,22,40,30,130,4.58,,88.70,98.84,94.44,33,,,,
20000103OPA,7,Condition_0001,CHM804,DXX,5,,826,PJ-1,100,90,80,40,200,22,40,30,130,4.55,,88.66,98.85,94.67,37,,,,
20000103OPA,8,Condition_0001,CHM804,DXX,5,,826,PJ-1,100,90,80,40,200,22,40,30,130,4.59,,88.68,98.80,93.37,85,,,,
20000103OPA,9,Condition_0001,CHM804,DXX,5,,826,PJ-1,100,90,80,40,200,22,40,30,130,4.53,,88.70,98.69,92.57,6,,,,
20000103OPA,10,Condition_0001,CHM804,DXX,5,,826,PJ-1,100,90,80,40,200,22,40,30,130,4.49,,88.71,99.04,95.62,37,,,,
20000103OPA,11,Condition_0001,CHM804,DXX,5,,826,PJ-1,100,90,80,40,200,22,40,30,130,4.55,,88.70,99.06,94.87,59,,,,
20000103OPA,12,Condition_0001,CHM804,DXX,5,,826,PJ-1,100,90,80,40,200,22,40,30,130,4.70,,88.67,98.71,94.35,42,,,,
20000103OPA,13,Condition_0001,CHM804,DXX,5,,826,PJ-1,100,90,80,40,200,22,40,30,130,4.65,,88.72,98.59,93.76,47,,,,
20000103OPA,14,Condition_0001,CHM804,DXX,5,,826,PJ-1,100,90,80,40,200,22,40,30,130,4.55,,88.77,98.67,94.52,41,,,,
20000103OPA,15,Condition_0001,CHM804,DXX,5,,826,PJ-1,100,90,80,40,200,22,40,30,130,4.64,,88.74,98.75,94.63,34,,,,
20000103OPA,16,Condition_0001,CHM804,DXX,5,,826,PJ-1,100,90,80,40,200,22,40,30,130,4.73,,88.78,98.46,93.60,46,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
20000103OPE,1,Condition_0002,CHM850-810,FKI66,10,,810,PJ-1,100,90,80,40,200,22,40,30,130,4.69,,87.71,97.77,91.57,57,,,,
20000103OPE,2,Condition_0002,CHM850-810,FKI66,10,,810,PJ-1,100,90,80,40,200,22,40,30,130,4.61,,87.77,x,x,x,,,,
20000103OPE,3,Condition_0002,CHM850-810,FKI66,10,,810,PJ-1,100,90,80,40,200,22,40,30,130,4.73,,87.71,97.74,91.37,55,,,,
20000103OPE,4,Condition_0002,CHM850-810,FKI66,10,,810,PJ-1,100,90,80,40,200,22,40,30,130,4.44,,87.68,97.72,91.47,57,,,,
20000103OPE,5,Condition_0002,CHM850-810,FKI66,10,,810,PJ-1,100,90,80,40,200,22,40,30,130,4.71,,87.85,97.94,91.42,54,,,,
20000103OPE,6,Condition_0002,CHM850-810,FKI66,10,,810,PJ-1,100,90,80,40,200,22,40,30,130,4.17,,87.81,98.40,92.14,65,,,,
